Jahr;Todesursache;Geschlecht;Anzahl
1991;Angeborene Fehlbildungen des Nervensystems;maennlich;188
1991;Angeborene Fehlbildungen des Nervensystems;weiblich;173
1991;Angeborene Fehlbildungen des Kreislaufsystems;maennlich;618
1991;Angeborene Fehlbildungen des Kreislaufsystems;weiblich;533
1991;Symptome und abnorme klinische und Laborbefunde;maennlich;10797
1991;Symptome und abnorme klinische und Laborbefunde;weiblich;12042
1991;Ploetzlicher Kindstod;maennlich;769
1991;Ploetzlicher Kindstod;weiblich;516
1991;Sonst. ungenau bezeichnete u. unbek. Todesursachen;maennlich;8025
1991;Sonst. ungenau bezeichnete u. unbek. Todesursachen;weiblich;6419
1991;Aeussere Ursachen von Morbiditaet und Mortalitaet;maennlich;28011
1991;Aeussere Ursachen von Morbiditaet und Mortalitaet;weiblich;18668
1991;Unfaelle einschliesslich Spaetfolgen;maennlich;16407
1991;Unfaelle einschliesslich Spaetfolgen;weiblich;13175
1991;Transportmittelunfaelle;maennlich;8565
1991;Transportmittelunfaelle;weiblich;3161
1991;Stuerze;maennlich;4460
1991;Stuerze;weiblich;8222
1991;Ertrinken und Untergehen;maennlich;550
1991;Ertrinken und Untergehen;weiblich;223
1991;Exposition gegenueber Rauch, Feuer und Flammen;maennlich;495
1991;Exposition gegenueber Rauch, Feuer und Flammen;weiblich;339
1991;Akzid. Vergiftung: schaedl. Substanzen (inkl. Exp.);maennlich;347
1991;Akzid. Vergiftung: schaedl. Substanzen (inkl. Exp.);weiblich;250
1991;Vorsaetzliche Selbstbeschaedigung;maennlich;9656
1991;Vorsaetzliche Selbstbeschaedigung;weiblich;4355
1991;Taetlicher Angriff;maennlich;537
1991;Taetlicher Angriff;weiblich;379
1991;Ereignis, dessen naehere Umstaende unbestimmt sind;maennlich;1390
1991;Ereignis, dessen naehere Umstaende unbestimmt sind;weiblich;758
1991;Insgesamt;maennlich;421818
1991;Insgesamt;weiblich;489427
1992;Bestimmte infektioese und parasitaere Krankheiten;maennlich;4160
1992;Bestimmte infektioese und parasitaere Krankheiten;weiblich;3094
1992;Tuberkulose einschliesslich ihrer Folgezustaende;maennlich;754
1992;Tuberkulose einschliesslich ihrer Folgezustaende;weiblich;401
1992;Meningokokkeninfektion;maennlich;47
1992;Meningokokkeninfektion;weiblich;29
1992;Virushepatitis;maennlich;155
1992;Virushepatitis;weiblich;93
1992;HIV-Krankheit;maennlich;1583
1992;HIV-Krankheit;weiblich;197
1992;Neubildungen;maennlich;108903
1992;Neubildungen;weiblich;108704
1992;Boesartige Neubildungen (BN);maennlich;106791
1992;Boesartige Neubildungen (BN);weiblich;105758
1992;BN der Lippe, der Mundhoehle und des Pharynx;maennlich;3744
1992;BN der Lippe, der Mundhoehle und des Pharynx;weiblich;916
1992;BN des Oesophagus;maennlich;2881
1992;BN des Oesophagus;weiblich;828
1992;BN des Magens;maennlich;8461
1992;BN des Magens;weiblich;8177
1992;BN des Dickdarms;maennlich;8892
1992;BN des Dickdarms;weiblich;12628
1992;BN des Rektums, des Anus und am Rektosigmoid;maennlich;4537
1992;BN des Rektums, des Anus und am Rektosigmoid;weiblich;4884
1992;BN der Leber, der Gallenwege und des Pankreas;maennlich;9058
1992;BN der Leber, der Gallenwege und des Pankreas;weiblich;11787
1992;BN der Leber und der intrahepatischen Gallengaenge;maennlich;2639
1992;BN der Leber und der intrahepatischen Gallengaenge;weiblich;2147
1992;BN des Pankreas;maennlich;4995
1992;BN des Pankreas;weiblich;5834
1992;BN d. Larynx, d. Trachea, d. Bronchien u. d. Lunge;maennlich;29401
1992;BN d. Larynx, d. Trachea, d. Bronchien u. d. Lunge;weiblich;7542
1992;BN der Bronchien und der Lunge;maennlich;27805
1992;BN der Bronchien und der Lunge;weiblich;7331
1992;Melanom und sonstige boesartige Neubild. der Haut;maennlich;1297
1992;Melanom und sonstige boesartige Neubild. der Haut;weiblich;1207
1992;Boesartiges Melanom der Haut;maennlich;1051
1992;Boesartiges Melanom der Haut;weiblich;943
1992;BN der Brustdruese;maennlich;126
1992;BN der Brustdruese;weiblich;18343
1992;BN der Genital- und Harnorgane;maennlich;19929
1992;BN der Genital- und Harnorgane;weiblich;18649
1992;BN der Cervix uteri;maennlich;NA
1992;BN der Cervix uteri;weiblich;2529
1992;BN des Corpus uteri u. Uterus, Teil n.n. bezeichn.;maennlich;NA
1992;BN des Corpus uteri u. Uterus, Teil n.n. bezeichn.;weiblich;3307
1992;BN des Ovars;maennlich;NA
1992;BN des Ovars;weiblich;6135
1992;BN der Prostata;maennlich;11275
1992;BN der Prostata;weiblich;NA
1992;BN der Niere, ausgenommen Nierenbecken;maennlich;3122
1992;BN der Niere, ausgenommen Nierenbecken;weiblich;2299
1992;BN der Harnblase;maennlich;4465
1992;BN der Harnblase;weiblich;2243
1992;BN d. lymphat., blutbild. u. verwandten Gewebes;maennlich;7045
1992;BN d. lymphat., blutbild. u. verwandten Gewebes;weiblich;7400
1992;Leukaemie;maennlich;3282
1992;Leukaemie;weiblich;3326
1992;Gutartige Neubildungen;maennlich;136
1992;Gutartige Neubildungen;weiblich;239
1992;Krankheiten des Blutes u. der blutbildenden Organe;maennlich;870
1992;Krankheiten des Blutes u. der blutbildenden Organe;weiblich;1212
1992;Endokrine, Ernaehrungs- u. Stoffwechselkrankheiten;maennlich;7125
1992;Endokrine, Ernaehrungs- u. Stoffwechselkrankheiten;weiblich;14596
1992;Diabetes mellitus;maennlich;6276
1992;Diabetes mellitus;weiblich;13246
1992;Psychische und Verhaltensstoerungen;maennlich;6851
1992;Psychische und Verhaltensstoerungen;weiblich;3988
1992;Psychische und Verhaltensstoerungen durch Alkohol;maennlich;4248
1992;Psychische und Verhaltensstoerungen durch Alkohol;weiblich;1159
1992;Psych. u. Verhaltensstoerungen d.a.psychotr. Subst.;maennlich;1421
1992;Psych. u. Verhaltensstoerungen d.a.psychotr. Subst.;weiblich;324
1992;Krankheiten d. Nervensystems u. d. Sinnesorgane;maennlich;6033
1992;Krankheiten d. Nervensystems u. d. Sinnesorgane;weiblich;7167
1992;Meningitis;maennlich;151
1992;Meningitis;weiblich;150
1992;Krankheiten des Kreislaufsystems;maennlich;181950
1992;Krankheiten des Kreislaufsystems;weiblich;255290
1992;Hypertonie (Hochdruckkrankheit);maennlich;4504
1992;Hypertonie (Hochdruckkrankheit);weiblich;10163
1992;Ischaemische Herzkrankheiten;maennlich;87583
1992;Ischaemische Herzkrankheiten;weiblich;92096
1992;Akuter oder rezidivierender Myokardinfarkt;maennlich;49911
1992;Akuter oder rezidivierender Myokardinfarkt;weiblich;38247
1992;Sonstige Formen der Herzkrankheit;maennlich;30930
1992;Sonstige Formen der Herzkrankheit;weiblich;52432
1992;Sonstige Krankheiten des Endokards;maennlich;1641
1992;Sonstige Krankheiten des Endokards;weiblich;2652
1992;Zerebrovaskulaere Krankheiten;maennlich;38012
1992;Zerebrovaskulaere Krankheiten;weiblich;68619
1992;Schlaganfall, nicht als Blutung oder Infarkt bez.;maennlich;22228
1992;Schlaganfall, nicht als Blutung oder Infarkt bez.;weiblich;41204
1992;Krankheiten der Arterien, Arteriolen und Kapillare;maennlich;12605
1992;Krankheiten der Arterien, Arteriolen und Kapillare;weiblich;20063
1992;Krankheiten des Atmungssystems;maennlich;28202
1992;Krankheiten des Atmungssystems;weiblich;22158
1992;Grippe;maennlich;81
1992;Grippe;weiblich;169
1992;Pneumonie;maennlich;7196
1992;Pneumonie;weiblich;9156
1992;Chronische Krankheiten der unteren Atemwege;maennlich;18239
1992;Chronische Krankheiten der unteren Atemwege;weiblich;10177
1992;Asthma;maennlich;3340
1992;Asthma;weiblich;2685
1992;COVID-19, Virus nachgewiesen;maennlich;NA
1992;COVID-19, Virus nachgewiesen;weiblich;NA
1992;COVID-19, Virus nicht nachgewiesen;maennlich;NA
1992;COVID-19, Virus nicht nachgewiesen;weiblich;NA
1992;Krankheiten des Verdauungssystems;maennlich;21942
1992;Krankheiten des Verdauungssystems;weiblich;19923
1992;Ulcus ventriculi, duodeni, pepticum, pept. jejuni;maennlich;1801
1992;Ulcus ventriculi, duodeni, pepticum, pept. jejuni;weiblich;2026
1992;Krankheiten der Leber;maennlich;13224
1992;Krankheiten der Leber;weiblich;7158
1992;Alkoh.Leberkh.,Chron.Hepatitis,Leberfibr.u.-zirr.;maennlich;12719
1992;Alkoh.Leberkh.,Chron.Hepatitis,Leberfibr.u.-zirr.;weiblich;6728
1992;Krankheiten der Haut und der Unterhaut;maennlich;216
1992;Krankheiten der Haut und der Unterhaut;weiblich;694
1992;Krankh. des Muskel-Skelett-Systems u. Bindegewebes;maennlich;717
1992;Krankh. des Muskel-Skelett-Systems u. Bindegewebes;weiblich;2069
1992;Chronische Polyarthritis und Arthrose;maennlich;211
1992;Chronische Polyarthritis und Arthrose;weiblich;811
1992;Krankheiten des Urogenitalsystems;maennlich;4196
1992;Krankheiten des Urogenitalsystems;weiblich;5287
1992;Krankheiten der Niere;maennlich;3222
1992;Krankheiten der Niere;weiblich;4522
1992;Schwangerschaft, Geburt und Wochenbett;maennlich;NA
1992;Schwangerschaft, Geburt und Wochenbett;weiblich;54
1992;Best.Zustaende mit Ursprung in der Perinatalperiode;maennlich;1097
1992;Best.Zustaende mit Ursprung in der Perinatalperiode;weiblich;799
1992;Angeb. Fehlbildungen,Deformitaeten,Chromosomenanom.;maennlich;1392
1992;Angeb. Fehlbildungen,Deformitaeten,Chromosomenanom.;weiblich;1183
1992;Angeborene Fehlbildungen des Nervensystems;maennlich;166
1992;Angeborene Fehlbildungen des Nervensystems;weiblich;198
1992;Angeborene Fehlbildungen des Kreislaufsystems;maennlich;611
1992;Angeborene Fehlbildungen des Kreislaufsystems;weiblich;488
1992;Symptome und abnorme klinische und Laborbefunde;maennlich;9753
1992;Symptome und abnorme klinische und Laborbefunde;weiblich;11067
1992;Ploetzlicher Kindstod;maennlich;537
1992;Ploetzlicher Kindstod;weiblich;387
1992;Sonst. ungenau bezeichnete u. unbek. Todesursachen;maennlich;7410
1992;Sonst. ungenau bezeichnete u. unbek. Todesursachen;weiblich;5971
1992;Aeussere Ursachen von Morbiditaet und Mortalitaet;maennlich;27176
1992;Aeussere Ursachen von Morbiditaet und Mortalitaet;weiblich;17575
1992;Unfaelle einschliesslich Spaetfolgen;maennlich;15851
1992;Unfaelle einschliesslich Spaetfolgen;weiblich;12322
1992;Transportmittelunfaelle;maennlich;8047
1992;Transportmittelunfaelle;weiblich;3015
1992;Stuerze;maennlich;4389
1992;Stuerze;weiblich;7589
1992;Ertrinken und Untergehen;maennlich;550
1992;Ertrinken und Untergehen;weiblich;208
1992;Exposition gegenueber Rauch, Feuer und Flammen;maennlich;429
1992;Exposition gegenueber Rauch, Feuer und Flammen;weiblich;301
1992;Akzid. Vergiftung: schaedl. Substanzen (inkl. Exp.);maennlich;326
1992;Akzid. Vergiftung: schaedl. Substanzen (inkl. Exp.);weiblich;238
1992;Vorsaetzliche Selbstbeschaedigung;maennlich;9326
1992;Vorsaetzliche Selbstbeschaedigung;weiblich;4132
1992;Taetlicher Angriff;maennlich;551
1992;Taetlicher Angriff;weiblich;398
1992;Ereignis, dessen naehere Umstaende unbestimmt sind;maennlich;1424
1992;Ereignis, dessen naehere Umstaende unbestimmt sind;weiblich;723
1992;Insgesamt;maennlich;410583
1992;Insgesamt;weiblich;474860
1993;Bestimmte infektioese und parasitaere Krankheiten;maennlich;4461
1993;Bestimmte infektioese und parasitaere Krankheiten;weiblich;3225
1993;Tuberkulose einschliesslich ihrer Folgezustaende;maennlich;671
1993;Tuberkulose einschliesslich ihrer Folgezustaende;weiblich;366
1993;Meningokokkeninfektion;maennlich;45
1993;Meningokokkeninfektion;weiblich;37
1993;Virushepatitis;maennlich;136
1993;Virushepatitis;weiblich;111
1993;HIV-Krankheit;maennlich;1775
1993;HIV-Krankheit;weiblich;255
1993;Neubildungen;maennlich;110442
1993;Neubildungen;weiblich;109322
1993;Boesartige Neubildungen (BN);maennlich;107820
1993;Boesartige Neubildungen (BN);weiblich;105928
1993;BN der Lippe, der Mundhoehle und des Pharynx;maennlich;3808
1993;BN der Lippe, der Mundhoehle und des Pharynx;weiblich;941
1993;BN des Oesophagus;maennlich;3004
1993;BN des Oesophagus;weiblich;901
1993;BN des Magens;maennlich;8281
1993;BN des Magens;weiblich;7961
1993;BN des Dickdarms;maennlich;8833
1993;BN des Dickdarms;weiblich;12415
1993;BN des Rektums, des Anus und am Rektosigmoid;maennlich;4512
1993;BN des Rektums, des Anus und am Rektosigmoid;weiblich;4877
1993;BN der Leber, der Gallenwege und des Pankreas;maennlich;9179
1993;BN der Leber, der Gallenwege und des Pankreas;weiblich;11609
1993;BN der Leber und der intrahepatischen Gallengaenge;maennlich;2766
1993;BN der Leber und der intrahepatischen Gallengaenge;weiblich;2009
1993;BN des Pankreas;maennlich;4977
1993;BN des Pankreas;weiblich;5835
1993;BN d. Larynx, d. Trachea, d. Bronchien u. d. Lunge;maennlich;29933
1993;BN d. Larynx, d. Trachea, d. Bronchien u. d. Lunge;weiblich;7882
1993;BN der Bronchien und der Lunge;maennlich;28328
1993;BN der Bronchien und der Lunge;weiblich;7704
1993;Melanom und sonstige boesartige Neubild. der Haut;maennlich;1388
1993;Melanom und sonstige boesartige Neubild. der Haut;weiblich;1265
1993;Boesartiges Melanom der Haut;maennlich;1129
1993;Boesartiges Melanom der Haut;weiblich;1024
1993;BN der Brustdruese;maennlich;137
1993;BN der Brustdruese;weiblich;18597
1993;BN der Genital- und Harnorgane;maennlich;20177
1993;BN der Genital- und Harnorgane;weiblich;18533
1993;BN der Cervix uteri;maennlich;NA
1993;BN der Cervix uteri;weiblich;2402
1993;BN des Corpus uteri u. Uterus, Teil n.n. bezeichn.;maennlich;NA
1993;BN des Corpus uteri u. Uterus, Teil n.n. bezeichn.;weiblich;3225
1993;BN des Ovars;maennlich;NA
1993;BN des Ovars;weiblich;6356
1993;BN der Prostata;maennlich;11401
1993;BN der Prostata;weiblich;NA
1993;BN der Niere, ausgenommen Nierenbecken;maennlich;3254
1993;BN der Niere, ausgenommen Nierenbecken;weiblich;2290
1993;BN der Harnblase;maennlich;4465
1993;BN der Harnblase;weiblich;2284
1993;BN d. lymphat., blutbild. u. verwandten Gewebes;maennlich;7234
1993;BN d. lymphat., blutbild. u. verwandten Gewebes;weiblich;7617
1993;Leukaemie;maennlich;3294
1993;Leukaemie;weiblich;3370
1993;Gutartige Neubildungen;maennlich;163
1993;Gutartige Neubildungen;weiblich;261
1993;Krankheiten des Blutes u. der blutbildenden Organe;maennlich;782
1993;Krankheiten des Blutes u. der blutbildenden Organe;weiblich;1113
1993;Endokrine, Ernaehrungs- u. Stoffwechselkrankheiten;maennlich;8889
1993;Endokrine, Ernaehrungs- u. Stoffwechselkrankheiten;weiblich;17582
1993;Diabetes mellitus;maennlich;7796
1993;Diabetes mellitus;weiblich;16012
1993;Psychische und Verhaltensstoerungen;maennlich;6912
1993;Psychische und Verhaltensstoerungen;weiblich;3975
1993;Psychische und Verhaltensstoerungen durch Alkohol;maennlich;4433
1993;Psychische und Verhaltensstoerungen durch Alkohol;weiblich;1204
1993;Psych. u. Verhaltensstoerungen d.a.psychotr. Subst.;maennlich;1251
1993;Psych. u. Verhaltensstoerungen d.a.psychotr. Subst.;weiblich;317
1993;Krankheiten d. Nervensystems u. d. Sinnesorgane;maennlich;6170
1993;Krankheiten d. Nervensystems u. d. Sinnesorgane;weiblich;7448
1993;Meningitis;maennlich;153
1993;Meningitis;weiblich;145
1993;Krankheiten des Kreislaufsystems;maennlich;183712
1993;Krankheiten des Kreislaufsystems;weiblich;257184
1993;Hypertonie (Hochdruckkrankheit);maennlich;4370
1993;Hypertonie (Hochdruckkrankheit);weiblich;9754
1993;Ischaemische Herzkrankheiten;maennlich;89764
1993;Ischaemische Herzkrankheiten;weiblich;94723
1993;Akuter oder rezidivierender Myokardinfarkt;maennlich;50492
1993;Akuter oder rezidivierender Myokardinfarkt;weiblich;38596
1993;Sonstige Formen der Herzkrankheit;maennlich;31500
1993;Sonstige Formen der Herzkrankheit;weiblich;53466
1993;Sonstige Krankheiten des Endokards;maennlich;1862
1993;Sonstige Krankheiten des Endokards;weiblich;2979
1993;Zerebrovaskulaere Krankheiten;maennlich;37619
1993;Zerebrovaskulaere Krankheiten;weiblich;68148
1993;Schlaganfall, nicht als Blutung oder Infarkt bez.;maennlich;21825
1993;Schlaganfall, nicht als Blutung oder Infarkt bez.;weiblich;41188
1993;Krankheiten der Arterien, Arteriolen und Kapillare;maennlich;11808
1993;Krankheiten der Arterien, Arteriolen und Kapillare;weiblich;18475
1993;Krankheiten des Atmungssystems;maennlich;29001
1993;Krankheiten des Atmungssystems;weiblich;23933
1993;Grippe;maennlich;130
1993;Grippe;weiblich;304
1993;Pneumonie;maennlich;7270
1993;Pneumonie;weiblich;9570
1993;Chronische Krankheiten der unteren Atemwege;maennlich;18638
1993;Chronische Krankheiten der unteren Atemwege;weiblich;11170
1993;Asthma;maennlich;3181
1993;Asthma;weiblich;2788
1993;COVID-19, Virus nachgewiesen;maennlich;NA
1993;COVID-19, Virus nachgewiesen;weiblich;NA
1993;COVID-19, Virus nicht nachgewiesen;maennlich;NA
1993;COVID-19, Virus nicht nachgewiesen;weiblich;NA
1993;Krankheiten des Verdauungssystems;maennlich;22154
1993;Krankheiten des Verdauungssystems;weiblich;20126
1993;Ulcus ventriculi, duodeni, pepticum, pept. jejuni;maennlich;1814
1993;Ulcus ventriculi, duodeni, pepticum, pept. jejuni;weiblich;2123
1993;Krankheiten der Leber;maennlich;13510
1993;Krankheiten der Leber;weiblich;7266
1993;Alkoh.Leberkh.,Chron.Hepatitis,Leberfibr.u.-zirr.;maennlich;12971
1993;Alkoh.Leberkh.,Chron.Hepatitis,Leberfibr.u.-zirr.;weiblich;6853
1993;Krankheiten der Haut und der Unterhaut;maennlich;236
1993;Krankheiten der Haut und der Unterhaut;weiblich;603
1993;Krankh. des Muskel-Skelett-Systems u. Bindegewebes;maennlich;667
1993;Krankh. des Muskel-Skelett-Systems u. Bindegewebes;weiblich;1970
1993;Chronische Polyarthritis und Arthrose;maennlich;202
1993;Chronische Polyarthritis und Arthrose;weiblich;821
1993;Krankheiten des Urogenitalsystems;maennlich;4178
1993;Krankheiten des Urogenitalsystems;weiblich;5211
1993;Krankheiten der Niere;maennlich;3336
1993;Krankheiten der Niere;weiblich;4494
1993;Schwangerschaft, Geburt und Wochenbett;maennlich;NA
1993;Schwangerschaft, Geburt und Wochenbett;weiblich;44
1993;Best.Zustaende mit Ursprung in der Perinatalperiode;maennlich;999
1993;Best.Zustaende mit Ursprung in der Perinatalperiode;weiblich;713
1993;Angeb. Fehlbildungen,Deformitaeten,Chromosomenanom.;maennlich;1292
1993;Angeb. Fehlbildungen,Deformitaeten,Chromosomenanom.;weiblich;1183
1993;Angeborene Fehlbildungen des Nervensystems;maennlich;161
1993;Angeborene Fehlbildungen des Nervensystems;weiblich;174
1993;Angeborene Fehlbildungen des Kreislaufsystems;maennlich;569
1993;Angeborene Fehlbildungen des Kreislaufsystems;weiblich;488
1993;Symptome und abnorme klinische und Laborbefunde;maennlich;9824
1993;Symptome und abnorme klinische und Laborbefunde;weiblich;11245
1993;Ploetzlicher Kindstod;maennlich;527
1993;Ploetzlicher Kindstod;weiblich;343
1993;Sonst. ungenau bezeichnete u. unbek. Todesursachen;maennlich;7588
1993;Sonst. ungenau bezeichnete u. unbek. Todesursachen;weiblich;6120
1993;Aeussere Ursachen von Morbiditaet und Mortalitaet;maennlich;26155
1993;Aeussere Ursachen von Morbiditaet und Mortalitaet;weiblich;16519
1993;Unfaelle einschliesslich Spaetfolgen;maennlich;15092
1993;Unfaelle einschliesslich Spaetfolgen;weiblich;11693
1993;Transportmittelunfaelle;maennlich;7559
1993;Transportmittelunfaelle;weiblich;2739
1993;Stuerze;maennlich;4267
1993;Stuerze;weiblich;7298
1993;Ertrinken und Untergehen;maennlich;483
1993;Ertrinken und Untergehen;weiblich;172
1993;Exposition gegenueber Rauch, Feuer und Flammen;maennlich;417
1993;Exposition gegenueber Rauch, Feuer und Flammen;weiblich;284
1993;Akzid. Vergiftung: schaedl. Substanzen (inkl. Exp.);maennlich;258
1993;Akzid. Vergiftung: schaedl. Substanzen (inkl. Exp.);weiblich;154
1993;Vorsaetzliche Selbstbeschaedigung;maennlich;8960
1993;Vorsaetzliche Selbstbeschaedigung;weiblich;3730
1993;Taetlicher Angriff;maennlich;563
1993;Taetlicher Angriff;weiblich;403
1993;Ereignis, dessen naehere Umstaende unbestimmt sind;maennlich;1517
1993;Ereignis, dessen naehere Umstaende unbestimmt sind;weiblich;692
1993;Insgesamt;maennlich;415874
1993;Insgesamt;weiblich;481396
1994;Bestimmte infektioese und parasitaere Krankheiten;maennlich;4719
1994;Bestimmte infektioese und parasitaere Krankheiten;weiblich;3403
1994;Tuberkulose einschliesslich ihrer Folgezustaende;maennlich;682
1994;Tuberkulose einschliesslich ihrer Folgezustaende;weiblich;332
1994;Meningokokkeninfektion;maennlich;45
1994;Meningokokkeninfektion;weiblich;36
1994;Virushepatitis;maennlich;154
1994;Virushepatitis;weiblich;124
1994;HIV-Krankheit;maennlich;1839
1994;HIV-Krankheit;weiblich;284
1994;Neubildungen;maennlich;109848
1994;Neubildungen;weiblich;108564
1994;Boesartige Neubildungen (BN);maennlich;107266
1994;Boesartige Neubildungen (BN);weiblich;105125
1994;BN der Lippe, der Mundhoehle und des Pharynx;maennlich;3787
1994;BN der Lippe, der Mundhoehle und des Pharynx;weiblich;1016
1994;BN des Oesophagus;maennlich;3017
1994;BN des Oesophagus;weiblich;896
1994;BN des Magens;maennlich;8126
1994;BN des Magens;weiblich;7803
1994;BN des Dickdarms;maennlich;8976
1994;BN des Dickdarms;weiblich;12451
1994;BN des Rektums, des Anus und am Rektosigmoid;maennlich;4309
1994;BN des Rektums, des Anus und am Rektosigmoid;weiblich;4590
1994;BN der Leber, der Gallenwege und des Pankreas;maennlich;9286
1994;BN der Leber, der Gallenwege und des Pankreas;weiblich;11816
1994;BN der Leber und der intrahepatischen Gallengaenge;maennlich;2791
1994;BN der Leber und der intrahepatischen Gallengaenge;weiblich;2016
1994;BN des Pankreas;maennlich;5058
1994;BN des Pankreas;weiblich;5969
1994;BN d. Larynx, d. Trachea, d. Bronchien u. d. Lunge;maennlich;29555
1994;BN d. Larynx, d. Trachea, d. Bronchien u. d. Lunge;weiblich;8232
1994;BN der Bronchien und der Lunge;maennlich;28010
1994;BN der Bronchien und der Lunge;weiblich;8032
1994;Melanom und sonstige boesartige Neubild. der Haut;maennlich;1282
1994;Melanom und sonstige boesartige Neubild. der Haut;weiblich;1305
1994;Boesartiges Melanom der Haut;maennlich;1049
1994;Boesartiges Melanom der Haut;weiblich;1085
1994;BN der Brustdruese;maennlich;142
1994;BN der Brustdruese;weiblich;18356
1994;BN der Genital- und Harnorgane;maennlich;20297
1994;BN der Genital- und Harnorgane;weiblich;17993
1994;BN der Cervix uteri;maennlich;NA
1994;BN der Cervix uteri;weiblich;2378
1994;BN des Corpus uteri u. Uterus, Teil n.n. bezeichn.;maennlich;NA
1994;BN des Corpus uteri u. Uterus, Teil n.n. bezeichn.;weiblich;3036
1994;BN des Ovars;maennlich;NA
1994;BN des Ovars;weiblich;6186
1994;BN der Prostata;maennlich;11719
1994;BN der Prostata;weiblich;NA
1994;BN der Niere, ausgenommen Nierenbecken;maennlich;3246
1994;BN der Niere, ausgenommen Nierenbecken;weiblich;2317
1994;BN der Harnblase;maennlich;4289
1994;BN der Harnblase;weiblich;2213
1994;BN d. lymphat., blutbild. u. verwandten Gewebes;maennlich;7289
1994;BN d. lymphat., blutbild. u. verwandten Gewebes;weiblich;7591
1994;Leukaemie;maennlich;3316
1994;Leukaemie;weiblich;3359
1994;Gutartige Neubildungen;maennlich;138
1994;Gutartige Neubildungen;weiblich;303
1994;Krankheiten des Blutes u. der blutbildenden Organe;maennlich;683
1994;Krankheiten des Blutes u. der blutbildenden Organe;weiblich;1072
1994;Endokrine, Ernaehrungs- u. Stoffwechselkrankheiten;maennlich;8617
1994;Endokrine, Ernaehrungs- u. Stoffwechselkrankheiten;weiblich;16753
1994;Diabetes mellitus;maennlich;7467
1994;Diabetes mellitus;weiblich;14992
1994;Psychische und Verhaltensstoerungen;maennlich;7175
1994;Psychische und Verhaltensstoerungen;weiblich;4206
1994;Psychische und Verhaltensstoerungen durch Alkohol;maennlich;4749
1994;Psychische und Verhaltensstoerungen durch Alkohol;weiblich;1230
1994;Psych. u. Verhaltensstoerungen d.a.psychotr. Subst.;maennlich;1224
1994;Psych. u. Verhaltensstoerungen d.a.psychotr. Subst.;weiblich;306
1994;Krankheiten d. Nervensystems u. d. Sinnesorgane;maennlich;6293
1994;Krankheiten d. Nervensystems u. d. Sinnesorgane;weiblich;7503
1994;Meningitis;maennlich;126
1994;Meningitis;weiblich;140
1994;Krankheiten des Kreislaufsystems;maennlich;178323
1994;Krankheiten des Kreislaufsystems;weiblich;252219
1994;Hypertonie (Hochdruckkrankheit);maennlich;4388
1994;Hypertonie (Hochdruckkrankheit);weiblich;9424
1994;Ischaemische Herzkrankheiten;maennlich;87240
1994;Ischaemische Herzkrankheiten;weiblich;93651
1994;Akuter oder rezidivierender Myokardinfarkt;maennlich;48968
1994;Akuter oder rezidivierender Myokardinfarkt;weiblich;37947
1994;Sonstige Formen der Herzkrankheit;maennlich;30284
1994;Sonstige Formen der Herzkrankheit;weiblich;51762
1994;Sonstige Krankheiten des Endokards;maennlich;1971
1994;Sonstige Krankheiten des Endokards;weiblich;3160
1994;Zerebrovaskulaere Krankheiten;maennlich;36846
1994;Zerebrovaskulaere Krankheiten;weiblich;67233
1994;Schlaganfall, nicht als Blutung oder Infarkt bez.;maennlich;21303
1994;Schlaganfall, nicht als Blutung oder Infarkt bez.;weiblich;40578
1994;Krankheiten der Arterien, Arteriolen und Kapillare;maennlich;10854
1994;Krankheiten der Arterien, Arteriolen und Kapillare;weiblich;17184
1994;Krankheiten des Atmungssystems;maennlich;28586
1994;Krankheiten des Atmungssystems;weiblich;24238
1994;Grippe;maennlich;88
1994;Grippe;weiblich;182
1994;Pneumonie;maennlich;7879
1994;Pneumonie;weiblich;10398
1994;Chronische Krankheiten der unteren Atemwege;maennlich;17685
1994;Chronische Krankheiten der unteren Atemwege;weiblich;10866
1994;Asthma;maennlich;2885
1994;Asthma;weiblich;2710
1994;COVID-19, Virus nachgewiesen;maennlich;NA
1994;COVID-19, Virus nachgewiesen;weiblich;NA
1994;COVID-19, Virus nicht nachgewiesen;maennlich;NA
1994;COVID-19, Virus nicht nachgewiesen;weiblich;NA
1994;Krankheiten des Verdauungssystems;maennlich;22205
1994;Krankheiten des Verdauungssystems;weiblich;20622
1994;Ulcus ventriculi, duodeni, pepticum, pept. jejuni;maennlich;1649
1994;Ulcus ventriculi, duodeni, pepticum, pept. jejuni;weiblich;2086
1994;Krankheiten der Leber;maennlich;13521
1994;Krankheiten der Leber;weiblich;7276
1994;Alkoh.Leberkh.,Chron.Hepatitis,Leberfibr.u.-zirr.;maennlich;13004
1994;Alkoh.Leberkh.,Chron.Hepatitis,Leberfibr.u.-zirr.;weiblich;6860
1994;Krankheiten der Haut und der Unterhaut;maennlich;175
1994;Krankheiten der Haut und der Unterhaut;weiblich;559
1994;Krankh. des Muskel-Skelett-Systems u. Bindegewebes;maennlich;602
1994;Krankh. des Muskel-Skelett-Systems u. Bindegewebes;weiblich;1782
1994;Chronische Polyarthritis und Arthrose;maennlich;195
1994;Chronische Polyarthritis und Arthrose;weiblich;806
1994;Krankheiten des Urogenitalsystems;maennlich;4195
1994;Krankheiten des Urogenitalsystems;weiblich;5515
1994;Krankheiten der Niere;maennlich;3364
