Jahr;Todesursache;Geschlecht;Anzahl
1980;Chronische Krankheiten der unteren Atemwege;maennlich;21547
1980;Chronische Krankheiten der unteren Atemwege;weiblich;9525
1980;Asthma;maennlich;3612
1980;Asthma;weiblich;2675
1980;COVID-19, Virus nachgewiesen;maennlich;NA
1980;COVID-19, Virus nachgewiesen;weiblich;NA
1980;COVID-19, Virus nicht nachgewiesen;maennlich;NA
1980;COVID-19, Virus nicht nachgewiesen;weiblich;NA
1980;Krankheiten des Verdauungssystems;maennlich;25179
1980;Krankheiten des Verdauungssystems;weiblich;21973
1980;Ulcus ventriculi, duodeni, pepticum, pept. jejuni;maennlich;3061
1980;Ulcus ventriculi, duodeni, pepticum, pept. jejuni;weiblich;2192
1980;Krankheiten der Leber;maennlich;13432
1980;Krankheiten der Leber;weiblich;7115
1980;Alkoh.Leberkh.,Chron.Hepatitis,Leberfibr.u.-zirr.;maennlich;12640
1980;Alkoh.Leberkh.,Chron.Hepatitis,Leberfibr.u.-zirr.;weiblich;6472
1980;Krankheiten der Haut und der Unterhaut;maennlich;241
1980;Krankheiten der Haut und der Unterhaut;weiblich;548
1980;Krankh. des Muskel-Skelett-Systems u. Bindegewebes;maennlich;1027
1980;Krankh. des Muskel-Skelett-Systems u. Bindegewebes;weiblich;2724
1980;Chronische Polyarthritis und Arthrose;maennlich;407
1980;Chronische Polyarthritis und Arthrose;weiblich;1402
1980;Krankheiten des Urogenitalsystems;maennlich;7863
1980;Krankheiten des Urogenitalsystems;weiblich;6930
1980;Krankheiten der Niere;maennlich;4917
1980;Krankheiten der Niere;weiblich;6410
1980;Schwangerschaft, Geburt und Wochenbett;maennlich;NA
1980;Schwangerschaft, Geburt und Wochenbett;weiblich;171
1980;Best.Zustaende mit Ursprung in der Perinatalperiode;maennlich;3146
1980;Best.Zustaende mit Ursprung in der Perinatalperiode;weiblich;2144
1980;Angeb. Fehlbildungen,Deformitaeten,Chromosomenanom.;maennlich;2070
1980;Angeb. Fehlbildungen,Deformitaeten,Chromosomenanom.;weiblich;1745
1980;Angeborene Fehlbildungen des Nervensystems;maennlich;360
1980;Angeborene Fehlbildungen des Nervensystems;weiblich;334
1980;Angeborene Fehlbildungen des Kreislaufsystems;maennlich;961
1980;Angeborene Fehlbildungen des Kreislaufsystems;weiblich;755
1980;Symptome und abnorme klinische und Laborbefunde;maennlich;8322
1980;Symptome und abnorme klinische und Laborbefunde;weiblich;10333
1980;Ploetzlicher Kindstod;maennlich;382
1980;Ploetzlicher Kindstod;weiblich;280
1980;Sonst. ungenau bezeichnete u. unbek. Todesursachen;maennlich;5424
1980;Sonst. ungenau bezeichnete u. unbek. Todesursachen;weiblich;4192
1980;Aeussere Ursachen von Morbiditaet und Mortalitaet;maennlich;33726
1980;Aeussere Ursachen von Morbiditaet und Mortalitaet;weiblich;21930
1980;Unfaelle einschliesslich Spaetfolgen;maennlich;20298
1980;Unfaelle einschliesslich Spaetfolgen;weiblich;14108
1980;Transportmittelunfaelle;maennlich;11315
1980;Transportmittelunfaelle;weiblich;4404
1980;Stuerze;maennlich;4244
1980;Stuerze;weiblich;7211
1980;Ertrinken und Untergehen;maennlich;816
1980;Ertrinken und Untergehen;weiblich;298
1980;Exposition gegenueber Rauch, Feuer und Flammen;maennlich;406
1980;Exposition gegenueber Rauch, Feuer und Flammen;weiblich;360
1980;Akzid. Vergiftung: schaedl. Substanzen (inkl. Exp.);maennlich;567
1980;Akzid. Vergiftung: schaedl. Substanzen (inkl. Exp.);weiblich;577
1980;Vorsaetzliche Selbstbeschaedigung;maennlich;11789
1980;Vorsaetzliche Selbstbeschaedigung;weiblich;6662
1980;Taetlicher Angriff;maennlich;456
1980;Taetlicher Angriff;weiblich;383
1980;Ereignis, dessen naehere Umstaende unbestimmt sind;maennlich;1152
1980;Ereignis, dessen naehere Umstaende unbestimmt sind;weiblich;776
1980;Insgesamt;maennlich;455917
1980;Insgesamt;weiblich;496439
1981;Bestimmte infektioese und parasitaere Krankheiten;maennlich;3209
1981;Bestimmte infektioese und parasitaere Krankheiten;weiblich;2516
1981;Tuberkulose einschliesslich ihrer Folgezustaende;maennlich;1696
1981;Tuberkulose einschliesslich ihrer Folgezustaende;weiblich;731
1981;Meningokokkeninfektion;maennlich;71
1981;Meningokokkeninfektion;weiblich;72
1981;Virushepatitis;maennlich;84
1981;Virushepatitis;weiblich;78
1981;HIV-Krankheit;maennlich;NA
1981;HIV-Krankheit;weiblich;NA
1981;Neubildungen;maennlich;100150
1981;Neubildungen;weiblich;102105
1981;Boesartige Neubildungen (BN);maennlich;96540
1981;Boesartige Neubildungen (BN);weiblich;97570
1981;BN der Lippe, der Mundhoehle und des Pharynx;maennlich;1972
1981;BN der Lippe, der Mundhoehle und des Pharynx;weiblich;606
1981;BN des Oesophagus;maennlich;1986
1981;BN des Oesophagus;weiblich;709
1981;BN des Magens;maennlich;11505
1981;BN des Magens;weiblich;10706
1981;BN des Dickdarms;maennlich;6756
1981;BN des Dickdarms;weiblich;10217
1981;BN des Rektums, des Anus und am Rektosigmoid;maennlich;4984
