"Name";"Trikotnummer";"Position";"Alter";"Groesse";"Gewicht"
"Adam Shaheen";80;"TE";27;200,66;116,573144
"Durham Smythe";81;"TE";26;198,12;111,583632
"Cole Banwart";NA;"G";24;193,04;135,170416
"Michael Deiter";63;"G";25;198,12;142,88148
"Robert Jones";65;"G";23;193,04;146,056624
"Solomon Kindley";66;"G";24;193,04;151,95332
"Connor Williams";NA;"G";25;195,58;135,170416
"Blaise Andries";NA;"OT";NA;198,12;151,95332
"Terron Armstead";NA;"OT";30;195,58;137,891968
"Larnel Coleman";79;"OT";23;198,12;141,974296
"Kellen Diesch";NA;"OT";NA;200,66;136,0776
"Liam Eichenberg";74;"OT";24;195,58;140,61352
"Robert Hunt";68;"OT";25;198,12;148,324584
"Austin Jackson";73;"OT";22;195,58;147,4174
"Greg Little";75;"OT";24;195,58;140,61352
"Adam Pankey";78;"OT";28;195,58;141,974296
"Kion Smith";76;"OT";23;198,12;142,88148
"Garrett Crall";NA;"DE";NA;195,58;108,408488
"Daeshon Hall";77;"DE";26;195,58;120,20188
"Emmanuel Ogbah";91;"DE";28;193,04;124,7378
"Ben Stille";NA;"DE";NA;195,58;133,80964
"Adam Butler";70;"DT";28;195,58;133,80964
"Owen Carney Jr";NA;"DT";NA;190,5;124,7378
"Raekwon Davis";98;"DT";24;200,66;149,68536
"John Jenkins";90;"DT";32;190,5;151,95332
"Benito Jones";95;"DT";24;185,42;144,242256
"Zach Sieler";92;"DT";26;198,12;134,716824
"Christian Wilkins";94;"DT";26;193,04;140,61352
"Jordan Williams";NA;"DT";23;185,42;131,54168
"Jerome Baker";55;"LB";25;187,96;102,0582
"Sam Eguavoen";49;"LB";29;185,42;107,047712
"Cameron Goode";NA;"LB";24;193,04;108,86208
"Darius Hodge";41;"LB";23;185,42;111,13004
"Melvin Ingram III";NA;"LB";33;187,96;112,037224
"Deandre Johnson";NA;"LB";NA;190,5;117,93392
"Calvin Munson";50;"LB";27;185,42;106,59412
"Jaelan Phillips";15;"LB";23;195,58;120,655472
"Duke Riley";45;"LB";27;185,42;104,32616
"Elandon Roberts";52;"LB";28;185,42;107,954896
"Brennan Scarlett";57;"LB";28;193,04;119,294696
"Channing Tindall";NA;"LB";22;187,96;104,32616
"Andrew Van Ginkel";43;"LB";26;193,04;109,769264
"Keion Crossen";NA;"CB";26;177,8;83,91452
"Javaris Davis";38;"CB";25;172,72;83,007336
"Elijah Hamilton";NA;"CB";NA;187,96;92,98636
"Xavien Howard";25;"CB";28;185,42;92,079176
"Noah Igbinoghene";9;"CB";22;180,34;89,357624
"Byron Jones";24;"CB";29;185,42;87,996848
"Kader Kohou";NA;"CB";NA;175,26;86,18248
"Nik Needham";40;"CB";25;185,42;88,904032
"Jamal Perry";33;"CB";27;177,8;82,553744
"D'Angelo Ross";NA;"CB";28;175,26;86,18248
"Trill Williams";6;"CB";22;185,42;92,98636
"Quincy Wilson";NA;"CB";25;187,96;87,543256
"Elijah Campbell";22;"S";26;180,34;86,18248
"Clayton Fejedelem";42;"S";28;185,42;92,98636
"Jevon Holland";8;"S";22;185,42;88,904032
"Brandon Jones";29;"S";24;185,42;86,636072
"Verone McKinley III";NA;"S";NA;180,34;87,996848
"Sheldrick Redwine";20;"S";25;182,88;88,45044
"Eric Rowe";21;"S";29;185,42;92,98636
"Jason Sanders";7;"PK";26;180,34;89,357624
"Tommy Heatherly";NA;"P";NA;180,34;95,25432
"Thomas Morstead";4;"P";36;193,04;102,0582
"Blake Ferguson";44;"LS";25;190,5;107,501304
"Brian Hoyer";5;"QB";36;187,96;97,975872
"Mac Jones";10;"QB";23;190,5;98,429464
"Bailey Zappe";NA;"QB";23;185,42;99,79024
"Damien Harris";37;"RB";25;180,34;96,615096
"Kevin Harris";NA;"RB";21;177,8;99,79024
"Malcolm Perry";87;"RB";25;177,8;79,3786
"Rhamondre Stevenson";38;"RB";24;182,88;104,32616
"Pierre Strong Jr";NA;"RB";NA;180,34;92,98636
"J.J. Taylor";42;"RB";24;167,64;83,91452
"James White";28;"RB";30;177,8;92,98636
"Nelson Agholor";15;"WR";29;182,88;89,811216
"Kendrick Bourne";84;"WR";26;185,42;86,18248
"N'Keal Harry";1;"WR";24;193,04;102,0582
"Jakobi Meyers";16;"WR";25;187,96;90,7184
"Ty Montgomery";88;"WR";29;182,88;97,975872
"Tre Nixon";87;"WR";24;182,88;84,821704
"DeVante Parker";11;"WR";29;190,5;99,336648
"Matthew Slater";18;"WR";36;182,88;92,98636
"Tyquan Thornton";NA;"WR";21;190,5;82,553744
"Kristian Wilkerson";17;"WR";25;185,42;97,068688
"Devin Asiasi";86;"TE";24;190,5;116,573144
"Hunter Henry";85;"TE";27;195,58;113,398
"Dalton Keene";44;"TE";23;193,04;113,851592
"Jonnu Smith";81;"TE";26;190,5;112,490816
"Matt Sokol";NA;"TE";26;195,58;115,66596
"David Andrews";60;"C";29;190,5;136,0776
"Drew Desjarlais";NA;"G";25;187,96;142,427888
"Yasir Durant";70;"G";24;200,66;149,68536
"James Ferentz";65;"G";32;187,96;136,0776
"Arlington Hambright";53;"G";26;195,58;136,0776
"Chasen Hines";NA;"G";NA;190,5;158,303608
"Mike Onwenu";71;"G";24;190,5;158,7572
"Cole Strange";NA;"G";23;198,12;136,531192
"Andrew Stueber";NA;"G";22;200,66;153,314096
"Kody Russey";NA;"OL";NA;187,96;132,448864
"Trent Brown";77;"OT";29;203,2;172,36496
"Yodny Cajuste";72;"OT";26;195,58;140,61352
"Justin Herron";75;"OT";26;195,58;138,34556
"Will Sherman";68;"OT";23;193,04;136,0776
"Isaiah Wynn";76;"OT";26;187,96;140,61352
"DaMarcus Mitchell";NA;"DL";NA;190,5;120,20188
"Henry Anderson";94;"DE";30;198,12;136,0776
"Lawrence Guy";93;"DE";32;193,04;142,88148
"Deatrich Wise Jr";91;"DE";27;195,58;124,7378
