"Name";"Trikotnummer";"Position";"Alter";"Groesse";"Gewicht"
"Elijah Lee";NA;"LB";26;190,5;104,32616
"Mike Rose";NA;"LB";NA;193,04;113,398
"DeAndre Baker";30;"CB";24;180,34;84,368112
"Luq Barcoo";NA;"CB";23;185,42;79,3786
"Dicaprio Bootle";2;"CB";24;177,8;82,553744
"Brandin Dandridge";NA;"CB";25;177,8;81,64656
"Rashad Fenton";27;"CB";25;180,34;87,543256
"Nasir Greer";NA;"CB";NA;182,88;91,171992
"Lonnie Johnson Jr";NA;"CB";26;187,96;96,615096
"Trent McDuffie";NA;"CB";21;180,34;88,45044
"L'Jarius Sneed";38;"CB";25;182,88;85,728888
"Jaylen Watson";NA;"CB";NA;190,5;92,532768
"Joshua Williams";NA;"CB";NA;190,5;89,357624
"Zayne Anderson";39;"S";25;187,96;92,98636
"Deon Bush";26;"S";28;182,88;89,811216
"Bryan Cook";NA;"S";22;185,42;95,25432
"Nazeeh Johnson";NA;"S";23;187,96;85,728888
"Devon Key";24;"S";24;182,88;94,347136
"Justin Reid";20;"S";25;185,42;92,079176
"Juan Thornhill";22;"S";26;182,88;92,079176
"Harrison Butker";7;"PK";26;193,04;88,904032
"Tommy Townsend";5;"P";25;185,42;87,996848
"James Winchester";41;"LS";32;190,5;109,769264
"Derek Carr";4;"QB";31;190,5;95,25432
"Chase Garbers";NA;"QB";22;187,96;102,0582
"Nick Mullens";NA;"QB";27;185,42;95,25432
"Jarrett Stidham";NA;"QB";25;190,5;97,52228
"Ameer Abdullah";20;"RB";28;172,72;90,7184
"Brandon Bolden";25;"RB";32;180,34;99,79024
"Brittain Brown";NA;"RB";24;185,42;92,98636
"Kenyan Drake";23;"RB";28;185,42;95,707912
"Josh Jacobs";28;"RB";24;177,8;99,79024
"Sincere McCormick";NA;"RB";NA;175,26;92,98636
"Zamir White";NA;"RB";NA;182,88;97,52228
"Jakob Johnson";47;"FB";27;190,5;115,66596
"Davante Adams";17;"WR";29;185,42;97,52228
"Keelan Cole";NA;"WR";29;185,42;87,996848
"Justin Hall";NA;"WR";NA;175,26;84,368112
"Mack Hollins";86;"WR";28;193,04;100,243832
"Tyron Johnson";17;"WR";26;185,42;87,543256
"Hunter Renfrow";13;"WR";26;177,8;83,91452
"Demarcus Robinson";NA;"WR";27;185,42;91,625584
"Dillon Stoner";16;"WR";24;182,88;87,996848
"DJ Turner";19;"WR";25;175,26;93,439952
"Jordan Veasy";NA;"WR";26;190,5;100,243832
"Nick Bowers";82;"TE";26;193,04;120,20188
"Cole Fotheringham";NA;"TE";NA;193,04;110,222856
"Jacob Hollister";NA;"TE";28;193,04;108,408488
"Foster Moreau";87;"TE";25;193,04;113,398
"Darren Waller";83;"TE";29;198,12;115,66596
"Hroniss Grasu";65;"C";30;190,5;136,531192
"Andre James";68;"C";25;193,04;136,0776
"Alex Bars";64;"G";26;195,58;151,499728
"Lester Cotton Sr";67;"G";26;193,04;151,95332
"Jermaine Eluemunor";72;"G";27;193,04;156,48924
"Denzelle Good";71;"G";31;195,58;154,22128
"Jordan Meredith";NA;"G";NA;190,5;136,0776
"Dylan Parham";NA;"G";22;190,5;129,27372
"John Simpson";76;"G";24;193,04;145,603032
"Jackson Barton";78;"OT";26;200,66;136,984784
"Alex Leatherwood";70;"OT";23;195,58;141,520704
"Kolton Miller";74;"OT";26;203,2;147,4174
"Thayer Munford";NA;"OT";NA;198,12;145,603032
"Bamidele Olaseni";NA;"OT";NA;203,2;149,68536
"Brandon Parker";75;"OT";26;203,2;145,14944
"Tyrone Wheatley Jr";72;"OT";25;198,12;131,54168
"Tashawn Bower";73;"DE";27;193,04;113,398
"Maxx Crosby";98;"DE";24;195,58;115,66596
"Clelin Ferrell";99;"DE";25;193,04;120,20188
"Gerri Green";52;"DE";26;193,04;113,398
"Malcolm Koonce";51;"DE";23;187,96;113,398
"Zach VanValkenburg";NA;"DE";24;193,04;121,109064
"Andrew Billings";NA;"DT";27;185,42;148,778176
"Matthew Butler";NA;"DT";22;193,04;133,80964
"Vernon Butler";NA;"DT";27;193,04;149,68536
"Neil Farrell Jr";NA;"DT";23;193,04;147,4174
"Johnathan Hankins";90;"DT";30;190,5;154,22128
"Tyler Lancaster";NA;"DT";27;190,5;141,974296
"Bilal Nichols";NA;"DT";25;193,04;136,984784
"Kyle Peko";NA;"DT";28;185,42;138,34556
"Myron Tagovailoa-Amosa";NA;"DT";NA;187,96;121,562656
"Kendal Vickers";95;"DT";27;190,5;133,80964
"Jayon Brown";NA;"LB";27;182,88;102,511792
"Darien Butler";NA;"LB";NA;182,88;102,0582
"Divine Deablo";5;"LB";23;190,5;102,511792
"Kyler Fackrell";NA;"LB";30;195,58;111,13004
"Chandler Jones";NA;"LB";32;195,58;120,20188
"Micah Kiser";NA;"LB";27;182,88;110,676448
"Luke Masterson";NA;"LB";NA;187,96;104,779752
"Denzel Perryman";52;"LB";29;180,34;108,86208
"Kenny Young";NA;"LB";27;185,42;106,140528
"Anthony Averett";23;"CB";27;180,34;80,739376
"Nate Hobbs";39;"CB";22;185,42;88,45044
"Cre'Von LeBlanc";31;"CB";27;177,8;86,18248
"Trayvon Mullen Jr";27;"CB";24;187,96;90,7184
"Darius Phillips";23;"CB";25;177,8;86,18248
"Amik Robertson";21;"CB";23;172,72;84,821704
"Sam Webb";NA;"CB";NA;187,96;88,45044
"Rock Ya-Sin";NA;"CB";26;182,88;86,18248
"Johnathan Abram";24;"S";25;182,88;92,98636
"Qwynnterrio Cole";NA;"S";NA;190,5;86,18248
"Bryce Cosby";NA;"S";NA;177,8;82,100152
"Tyree Gillespie";37;"S";24;182,88;93,893544
"Duron Harmon";30;"S";31;182,88;92,98636
"Dallin Leavitt";32;"S";27;177,8;88,45044
"Tre'von Moehrig";25;"S";22;187,96;91,625584
"Isaiah Pola-Mao";NA;"S";NA;193,04;92,98636
"Roderic Teamer";33;"S";25;182,88;92,98636
"Daniel Carlson";2;"PK";27;195,58;97,52228
"AJ Cole";6;"P";26;193,04;99,79024
"Trent Sieg";47;"LS";27;190,5;108,86208
"Chase Daniel";4;"QB";35;182,88;98,883056
"Justin Herbert";10;"QB";24;198,12;107,501304
"Brandon Peters";NA;"QB";24;195,58;104,32616
"Easton Stick";2;"QB";26;185,42;101,604608
"Leddie Brown";NA;"RB";NA;180,34;97,975872
"Austin Ekeler";30;"RB";27;177,8;90,7184
"Joshua Kelley";27;"RB";24;180,34;96,161504
"Kevin Marks Jr";NA;"RB";NA;182,88;92,079176
"Larry Rountree III";35;"RB";23;177,8;95,707912
"Isaiah Spiller";NA;"RB";NA;185,42;97,52228
"Zander Horvath";NA;"FB";23;190,5;104,32616
"Gabe Nabers";40;"FB";24;190,5;106,59412
"Keenan Allen";13;"WR";30;187,96;95,707912
"Michael Bandy";83;"WR";24;177,8;86,18248
"Trevon Bradford";NA;"WR";NA;182,88;83,460928
"DeAndre Carter";1;"WR";29;172,72;85,275296
"Maurice Ffrench";80;"WR";24;180,34;90,7184
"Jalen Guyton";15;"WR";24;185,42;96,161504
"Jason Moore";11;"WR";26;190,5;97,52228
"Joshua Palmer";5;"WR";22;185,42;95,25432
"Joe Reed";12;"WR";24;182,88;101,604608
"Mike Williams";81;"WR";27;193,04;98,883056
"Gerald Everett";0;"TE";27;190,5;108,86208
"Hunter Kampmoyer";47;"TE";24;193,04;110,222856
"Erik Krommenhoek";NA;"TE";NA;198,12;113,398
"Tre' McKitty";88;"TE";23;193,04;111,583632
"Donald Parham Jr";89;"TE";24;203,2;107,501304
"Stone Smartt";NA;"TE";NA;193,04;105,233344
"Will Clapp";NA;"C";25;195,58;141,067112
"Corey Linsley";63;"C";30;190,5;136,531192
"Zack Bailey";NA;"G";26;195,58;135,624008
"Matt Feiler";71;"G";29;198,12;149,68536
"Ryan Hunter";67;"G";27;190,5;143,335072
"Brenden Jaimes";64;"G";23;195,58;135,170416
"Zion Johnson";NA;"G";22;190,5;143,335072
"Jamaree Salyer";NA;"G";NA;193,04;147,4174
"Storm Norton";74;"OT";28;200,66;143,788664
"Trey Pipkins III";79;"OT";25;198,12;139,252744
"Foster Sarell";NA;"OT";23;200,66;142,88148
"Rashawn Slater";70;"OT";23;193,04;142,88148
"Andrew Trainer";NA;"OT";NA;200,66;145,14944
"Jamal Davis II";NA;"DE";26;193,04;108,86208
"Morgan Fox";NA;"DE";27;190,5;117,93392
"Joe Gaziano";92;"DE";25;193,04;127,00576
"Ty Shelby";NA;"DE";NA;193,04;117,480328
"Andrew Brown";90;"DT";26;190,5;134,263232
"Christian Covington";95;"DT";28;187,96;131,088088
"Breiden Fehoko";96;"DT";25;190,5;136,0776
"Austin Johnson";NA;"DT";28;193,04;142,427888
"Sebastian Joseph-Day";69;"DT";27;193,04;140,61352
"Forrest Merrill";91;"DT";25;182,88;146,056624
"Otito Ogbonnia";NA;"DT";NA;193,04;145,14944
"Jerry Tillery";99;"DT";25;198,12;133,80964
"Joey Bosa";97;"LB";26;195,58;127,00576
"Cole Christiansen";50;"LB";24;185,42;104,32616
"Emeke Egbule";51;"LB";25;187,96;111,13004
"Damon Lloyd";53;"LB";24;182,88;106,59412
"Khalil Mack";52;"LB";31;190,5;121,109064
"Tyreek Maddox-Williams";NA;"LB";NA;187,96;106,59412
"Kenneth Murray Jr";9;"LB";23;187,96;109,315672
"Nick Niemann";31;"LB";24;190,5;110,676448
"Amen Ogbongbemiga";57;"LB";23;182,88;104,779752
"Troy Reeder";42;"LB";27;190,5;111,13004
"Chris Rumph II";94;"LB";23;187,96;110,676448
"Drue Tranquill";49;"LB";26;187,96;106,140528
"Kyle Van Noy";NA;"LB";31;190,5;113,398
"Bryce Callahan";NA;"CB";30;175,26;85,275296
"Tevaughn Campbell";20;"CB";28;182,88;90,7184
"Michael Davis";43;"CB";27;187,96;88,904032
"Ben DeLuca";46;"CB";24;185,42;91,625584
"Kemon Hall";37;"CB";24;180,34;86,18248
"J.C. Jackson";27;"CB";26;185,42;89,811216
"Deane Leonard";NA;"CB";22;182,88;88,45044
"Asante Samuel Jr";26;"CB";22;177,8;81,64656
"Brandon Sebastian";NA;"CB";NA;182,88;81,192968
"Ja'Sir Taylor";NA;"CB";NA;177,8;83,91452
"Isaac Weaver";NA;"CB";NA;198,12;137,438376
"Nasir Adderley";24;"S";25;182,88;93,439952
"Alohi Gilman";32;"S";24;177,8;91,171992
"Derwin James Jr";33;"S";25;187,96;97,52228
"Raheem Layne II";NA;"S";NA;185,42;90,7184
"Trey Marshall";36;"S";26;182,88;93,893544
"Skyler Thomas";NA;"S";NA;177,8;83,91452
"Mark Webb Jr";29;"S";23;185,42;93,893544
"JT Woods";NA;"S";21;187,96;87,543256
"Dustin Hopkins";6;"PK";31;187,96;87,543256
"James McCourt";NA;"PK";NA;185,42;97,52228
"Ty Long";1;"P";29;187,96;92,98636
"JK Scott";NA;"P";26;195,58;94,347136
"Josh Harris";NA;"LS";33;185,42;101,604608
"Anthony Brown";12;"QB";NA;185,42;98,429464
"Brett Hundley";5;"QB";28;190,5;102,511792
"Tyler Huntley";2;"QB";24;185,42;88,904032
"Lamar Jackson";8;"QB";25;187,96;96,161504
"Tyler Badie";30;"RB";NA;172,72;89,357624
"Mike Davis";28;"RB";29;175,26;98,429464
"J.K. Dobbins";27;"RB";23;177,8;96,161504
"Gus Edwards";35;"RB";27;185,42;107,954896
"Justice Hill";43;"RB";24;177,8;90,7184
"Nate McCrary";47;"RB";23;182,88;96,615096
"Ricky Person Jr";31;"RB";NA;182,88;98,429464
"Patrick Ricard";42;"FB";28;190,5;136,0776
"Rashod Bateman";7;"WR";22;185,42;87,543256
"Slade Bolden";82;"WR";NA;180,34;85,728888
"Shemar Bridges";85;"WR";NA;193,04;93,893544
"Trevon Clark";87;"WR";NA;190,5;87,543256
"Devin Duvernay";13;"WR";24;180,34;90,7184
"Jaylon Moore";10;"WR";24;180,34;86,636072
"Makai Polk";18;"WR";NA;190,5;89,357624
"James Proche II";3;"WR";25;180,34;91,171992
"Binjimen Victor";81;"WR";25;193,04;90,264808
"Tylan Wallace";16;"WR";23;180,34;88,45044
"Raleigh Webb";11;"WR";NA;187,96;92,532768
"Devon Williams";17;"WR";NA;195,58;95,707912
"Mark Andrews";89;"TE";26;195,58;116,119552
"Nick Boyle";86;"TE";29;193,04;122,46984
"Charlie Kolar";88;"TE";23;198,12;113,398
"Isaiah Likely";80;"TE";NA;193,04;106,59412
"Ben Mason";38;"TE";23;190,5;116,119552
"Josh Oliver";84;"TE";25;195,58;112,944408
"Tony Poljan";83;"TE";25;200,66;113,851592
"Trystan Colon";63;"C";24;190,5;141,974296
"Tyler Linderbaum";64;"C";22;187,96;138,34556
"Jimmy Murray";67;"C";27;195,58;138,34556
"Ben Cleveland";66;"G";23;198,12;161,932344
"Kahlil McKenzie";69;"G";25;190,5;147,870992
"Patrick Mekari";65;"G";24;193,04;139,706336
"Tyre Phillips";74;"G";25;195,58;149,68536
"Ben Powers";72;"G";25;193,04;140,61352
"Kevin Zeitler";70;"G";32;193,04;142,88148
"Daniel Faalele";77;"OT";22;203,2;172,36496
"Ja'Wuan James";71;"OT";29;198,12;141,520704
"Jaryd Jones-Smith";61;"OT";26;200,66;156,48924
"Morgan Moses";78;"OT";31;198,12;149,68536
"Ronnie Stanley";79;"OT";28;198,12;142,88148
"Brent Urban";68;"DE";31;200,66;133,80964
"Derek Wolfe";95;"DE";32;195,58;129,27372
"Calais Campbell";93;"DT";35;203,2;136,0776
"Aaron Crawford";97;"DT";24;185,42;142,88148
"Travis Jones";98;"DT";22;193,04;148,324584
"Isaiah Mack";94;"DT";26;185,42;135,624008
"Justin Madubuike";92;"DT";24;190,5;136,0776
"Rayshad Nichols";91;"DT";NA;187,96;138,34556
"Michael Pierce";58;"DT";29;182,88;156,48924
"Broderick Washington";96;"DT";25;187,96;138,34556
"Vince Biegel";47;"LB";28;190,5;111,583632
"Tyus Bowser";54;"LB";27;190,5;109,769264
"Josh Bynes";56;"LB";32;185,42;106,59412
"Diego Fagot";NA;"LB";NA;190,5;108,86208
"Jaylon Ferguson";45;"LB";26;195,58;122,46984
"Malik Harrison";40;"LB";24;190,5;112,037224
"Daelin Hayes";59;"LB";24;193,04;114,758776
"Zakoby McClain";49;"LB";NA;180,34;102,965384
"Jeremiah Moon";51;"LB";NA;187,96;111,13004
"David Ojabo";90;"LB";22;195,58;115,66596
"Odafe Oweh";99;"LB";23;195,58;113,851592
"Patrick Queen";6;"LB";22;182,88;105,233344
"Josh Ross";46;"LB";NA;182,88;102,0582
"Kristian Welch";57;"LB";24;190,5;108,86208
"Charles Wiley";53;"LB";NA;187,96;113,851592
"Jalyn Armour-Davis";5;"CB";NA;185,42;88,45044
"Kyle Fuller";23;"CB";30;180,34;86,18248
"Marlon Humphrey";44;"CB";25;182,88;89,357624
"Robert Jackson";17;"CB";28;187,96;93,893544
"Iman Marshall";37;"CB";25;185,42;95,25432
"Marcus Peters";24;"CB";29;182,88;89,357624
"Kevon Seymour";25;"CB";28;182,88;83,91452
"Brandon Stephens";21;"CB";24;185,42;96,615096
"David Vereen";33;"CB";NA;175,26;85,275296
"Damarion Williams";22;"CB";NA;177,8;83,91452
"Denzel Williams";39;"CB";NA;177,8;81,64656
"Chuck Clark";36;"S";27;182,88;92,98636
"Kyle Hamilton";14;"S";21;193,04;99,79024
"Tony Jefferson II";23;"S";30;180,34;95,707912
"Geno Stone";26;"S";23;180,34;93,893544
"Ar'Darius Washington";29;"S";22;172,72;79,832192
"Marcus Williams";32;"S";25;185,42;88,45044
"Justin Tucker";9;"PK";32;185,42;83,007336
"Jordan Stout";11;"P";23;190,5;95,25432
"Nick Moore";46;"LS";29;187,96;112,490816
"Brandon Allen";8;"QB";29;187,96;94,800728
"Jake Browning";6;"QB";26;187,96;94,800728
"Joe Burrow";9;"QB";25;193,04;100,243832
"Chris Evans";25;"RB";24;180,34;99,336648
"Elijah Holyfield";36;"RB";24;177,8;97,52228
"Shermari Jones";NA;"RB";NA;185,42;99,79024
"Joe Mixon";28;"RB";25;185,42;99,79024
"Samaje Perine";34;"RB";26;180,34;108,86208
"Trayveon Williams";32;"RB";24;172,72;93,439952
"Tyler Boyd";83;"WR";28;187,96;92,079176
"Ja'Marr Chase";1;"WR";22;182,88;91,171992
"Jaivon Heiligh";NA;"WR";NA;187,96;90,7184
"Tee Higgins";85;"WR";23;193,04;97,52228
"Trenton Irwin";16;"WR";26;187,96;93,893544
"Kwamie Lassiter II";NA;"WR";NA;182,88;79,3786
"Stanley Morgan";17;"WR";25;182,88;92,98636
"Kendric Pryor";NA;"WR";NA;180,34;85,728888
"Jack Sorenson";NA;"WR";NA;182,88;88,45044
"Trent Taylor";11;"WR";28;172,72;82,100152
"Mike Thomas";80;"WR";27;185,42;85,728888
"Pooka Williams Jr";12;"WR";22;175,26;79,3786
"Nick Eubanks";NA;"TE";25;193,04;116,119552
"Hayden Hurst";81;"TE";28;193,04;117,93392
"Thaddeus Moss";81;"TE";24;190,5;112,944408
"Justin Rigg";NA;"TE";NA;198,12;119,294696
"Drew Sample";89;"TE";26;193,04;117,026736
"Mason Schreck";86;"TE";28;195,58;114,305184
"Scotty Washington";82;"TE";24;195,58;112,037224
"Mitchell Wilcox";84;"TE";25;193,04;112,037224
"Lamont Gaillard";61;"C";26;190,5;138,34556
"Trey Hill";63;"C";22;190,5;145,14944
"Ted Karras";NA;"C";29;193,04;138,34556
"Hakeem Adeniji";77;"G";24;193,04;136,984784
"Ben Brown";NA;"G";NA;195,58;142,88148
"Alex Cappa";NA;"G";27;198,12;138,34556
"Jackson Carman";79;"G";22;195,58;149,68536
"Desmond Noel";NA;"G";NA;190,5;138,34556
"D'Ante Smith";70;"G";23;195,58;133,356048
"Xavier Su'a-Filo";72;"G";31;193,04;141,520704
"Devin Cochran";NA;"OT";NA;200,66;142,427888
"La'el Collins";NA;"OT";28;193,04;145,14944
"Isaiah Prince";75;"OT";24;200,66;138,34556
"Cordell Volson";NA;"OT";NA;200,66;141,974296
"Jonah Williams";73;"OT";24;193,04;138,34556
"Jeffrey Gunter";NA;"DE";NA;193,04;117,93392
"Trey Hendrickson";91;"DE";27;193,04;122,46984
"Sam Hubbard";94;"DE";26;195,58;120,20188
"Wyatt Hubert";56;"DE";23;190,5;120,20188
"Khalid Kareem";90;"DE";24;193,04;121,562656
"Joseph Ossai";58;"DE";22;193,04;114,758776
"Cam Sample";96;"DE";22;190,5;124,284208
"Noah Spence";52;"DE";28;187,96;113,851592
"Damion Square";62;"DE";33;187,96;132,902456
"Zachary Carter";NA;"DT";23;193,04;129,27372
"B.J. Hill";92;"DT";27;190,5;137,438376
"D.J. Reader";98;"DT";27;190,5;157,396424
"Tyler Shelvin";99;"DT";23;190,5;156,942832
"Tariqious Tisdale";NA;"DT";NA;195,58;131,54168
"Josh Tupou";68;"DT";28;190,5;156,48924
"Joe Bachie";49;"LB";24;187,96;106,59412
"Markus Bailey";51;"LB";25;182,88;106,59412
"Austin Calitro";48;"LB";28;182,88;108,86208
"Akeem Davis-Gaither";59;"LB";24;187,96;97,52228
"Clarence Hicks";NA;"LB";NA;187,96;102,0582
"Clay Johnston";44;"LB";25;185,42;105,233344
"Keandre Jones";47;"LB";24;190,5;99,79024
"Germaine Pratt";57;"LB";26;187,96;111,13004
"Carson Wells";NA;"LB";NA;193,04;113,398
"Logan Wilson";55;"LB";25;187,96;109,315672
"Eli Apple";20;"CB";26;185,42;90,264808
"Chidobe Awuzie";22;"CB";27;182,88;91,625584
"John Brannon";39;"CB";24;182,88;86,18248
"Abu Daramy-Swaray";NA;"CB";NA;177,8;86,18248
"Jalen Davis";35;"CB";26;177,8;83,91452
"Tre Flowers";33;"CB";26;190,5;92,079176
"Allan George";NA;"CB";NA;185,42;88,45044
"Mike Hilton";21;"CB";28;175,26;83,460928
"Delonte Hood";NA;"CB";NA;182,88;83,91452
"Tycen Anderson";NA;"S";NA;187,96;95,25432
"Jessie Bates III";30;"S";25;185,42;90,7184
"Vonn Bell";24;"S";27;180,34;92,98636
"Trayvon Henderson";41;"S";26;182,88;92,98636
"Daxton Hill";NA;"S";21;182,88;87,089664
"Brendan Radley-Hiles";NA;"S";NA;175,26;81,64656
"Cam Taylor-Britt";NA;"S";22;182,88;92,98636
"Michael Thomas";31;"S";32;180,34;82,553744
"Brandon Wilson";40;"S";27;177,8;90,7184
"Evan McPherson";2;"PK";22;180,34;83,91452
"Drue Chrisman";4;"P";24;187,96;100,697424
"Kevin Huber";10;"P";36;185,42;95,25432
"Cal Adomitis";NA;"LS";23;187,96;113,398
"Clark Harris";46;"LS";37;195,58;113,398
"Jacoby Brissett";7;"QB";29;193,04;106,59412
"Joshua Dobbs";NA;"QB";27;190,5;97,975872
"Baker Mayfield";6;"QB";27;185,42;97,52228
"Deshaun Watson";4;"QB";26;187,96;97,52228
"Nick Chubb";24;"RB";26;180,34;102,965384
"Demetric Felton";25;"RB";23;175,26;85,728888
"Jerome Ford";NA;"RB";NA;180,34;99,79024
"Kareem Hunt";27;"RB";26;180,34;97,975872
"D'Ernest Johnson";30;"RB";26;177,8;94,347136
"John Kelly";41;"RB";25;177,8;94,347136
"Johnny Stanton";40;"FB";27;187,96;108,86208
"David Bell";NA;"WR";21;187,96;92,98636
"Ja'Marcus Bradley";84;"WR";25;182,88;89,811216
"Amari Cooper";NA;"WR";27;185,42;95,25432
"Jakeem Grant Sr";NA;"WR";29;170,18;78,017824
"Mike Harley";NA;"WR";NA;180,34;82,553744
"Travell Harris";NA;"WR";NA;175,26;83,91452
"Donovan Peoples-Jones";11;"WR";23;187,96;92,532768
"Anthony Schwartz";10;"WR";21;182,88;84,368112
"Isaiah Weston";NA;"WR";NA;193,04;95,25432
"Javon Wims";15;"WR";27;193,04;97,52228
"Michael Woods II";NA;"WR";NA;185,42;89,811216
"Harrison Bryant";88;"TE";24;195,58;104,32616
"Miller Forristall";86;"TE";24;195,58;111,13004
"Nakia Griffin-Stewart";NA;"TE";25;195,58;117,93392
"Zaire Mitchell-Paden";NA;"TE";NA;195,58;121,109064
"David Njoku";85;"TE";25;193,04;111,583632
"Marcus Santos-Silva";14;"TE";NA;200,66;113,398
"Dawson Deaton";NA;"C";NA;198,12;140,61352
"Nick Harris";53;"C";23;185,42;132,902456
"Ethan Pocic";77;"C";26;198,12;145,14944
"Joel Bitonio";75;"G";30;193,04;145,14944
"Michael Dunn";68;"G";27;195,58;142,88148
"Drew Forbes";79;"G";25;195,58;139,706336
"Hjalte Froholdt";72;"G";25;195,58;140,61352
"Blake Hance";62;"G";26;198,12;140,61352
"David Moore";60;"G";24;190,5;145,14944
"Wyatt Teller";77;"G";27;193,04;142,427888
"Ben Petrula";NA;"OL";NA;195,58;142,427888
"Jack Conklin";78;"OT";27;198,12;139,706336
"Chris Hubbard";74;"OT";31;193,04;133,80964
"James Hudson III";66;"OT";23;195,58;141,974296
"Elijah Nkansah";65;"OT";27;195,58;141,067112
"Alex Taylor";70;"OT";25;203,2;136,531192
"Jedrick Wills Jr";71;"OT";23;193,04;139,252744
"Jadeveon Clowney";90;"DE";29;195,58;115,66596
"Myles Garrett";95;"DE";26;193,04;123,377024
"Isaac Rochell";91;"DE";27;190,5;127,00576
"Isaiah Thomas";NA;"DE";NA;195,58;120,655472
"Stephen Weatherly";NA;"DE";28;195,58;120,20188
"Curtis Weaver";59;"DE";23;187,96;120,20188
"Chase Winovich";69;"DE";27;190,5;113,398
"Alex Wright";NA;"DE";NA;200,66;122,46984
"Taven Bryan";NA;"DT";26;195,58;131,995272
"Sheldon Day";92;"DT";27;185,42;132,902456
"Jordan Elliott";96;"DT";24;193,04;137,438376
"Glen Logan";NA;"DT";24;190,5;153,767688
"Roderick Perry II";NA;"DT";NA;187,96;142,88148
"Tommy Togiai";93;"DT";22;187,96;134,263232
"Perrion Winfrey";NA;"DT";21;193,04;131,54168
"Tony Fields II";42;"LB";22;182,88;100,697424
"Willie Harvey Jr";54;"LB";26;180,34;104,32616
"Silas Kelly";NA;"LB";NA;193,04;104,32616
"Jeremiah Owusu-Koramoah";28;"LB";22;187,96;100,243832
"Jacob Phillips";50;"LB";23;190,5;103,418976
"Sione Takitaki";44;"LB";26;185,42;107,954896
"Anthony Walker";4;"LB";26;185,42;106,59412
"Martin Emerson";NA;"CB";21;187,96;90,7184
"A.J. Green";38;"CB";23;187,96;89,811216
"Shaun Jolly";NA;"CB";NA;175,26;79,3786
"Luther Kirk";NA;"CB";25;187,96;88,45044
"Herb Miller";29;"CB";24;185,42;91,171992
"Parnell Motley";29;"CB";27;182,88;81,64656
"Greg Newsome II";20;"CB";22;182,88;87,089664
"Reggie Robinson II";NA;"CB";25;185,42;86,18248
"Denzel Ward";21;"CB";25;180,34;86,18248
"Greedy Williams";26;"CB";24;187,96;83,91452
"D'Anthony Bell";NA;"S";NA;185,42;95,707912
"Grant Delpit";22;"S";23;190,5;94,347136
"Ronnie Harrison Jr";33;"S";25;190,5;97,068688
"John Johnson III";43;"S";26;182,88;94,800728
"Richard LeCounte III";39;"S";23;180,34;88,904032
"Nate Meadors";49;"S";25;180,34;85,728888
"Cade York";NA;"PK";NA;185,42;89,811216
"Corey Bojorquez";13;"P";25;182,88;98,429464
"Joseph Charlton";19;"P";25;195,58;86,18248
"Charley Hughlett";47;"LS";32;193,04;112,490816
"Chris Oladokun";NA;"QB";NA;187,96;88,45044
"Kenny Pickett";8;"QB";23;190,5;99,79024
"Mason Rudolph";2;"QB";26;195,58;106,59412
"Mitch Trubisky";NA;"QB";27;187,96;99,79024
"Mataeo Durant";NA;"RB";22;185,42;88,45044
"Trey Edmunds";33;"RB";27;187,96;101,151016
"Najee Harris";22;"RB";24;185,42;105,233344
"Anthony McFarland Jr";26;"RB";23;172,72;87,543256
"Benny Snell Jr";24;"RB";24;177,8;101,604608
"Jaylen Warren";NA;"RB";23;172,72;97,52228
"Connor Heyward";NA;"FB";23;182,88;104,32616
"Derek Watt";44;"FB";29;187,96;106,140528
"Calvin Austin III";NA;"WR";NA;175,26;73,481904
"Miles Boykin";NA;"WR";25;193,04;99,79024
"Chase Claypool";11;"WR";23;193,04;107,954896
"Diontae Johnson";18;"WR";25;177,8;83,007336
"Anthony Miller";17;"WR";27;180,34;90,264808
"Gunner Olszewski";80;"WR";25;182,88;86,18248
"George Pickens";NA;"WR";21;190,5;90,7184
"Steven Sims";82;"WR";25;177,8;79,832192
"Tyler Snead";NA;"WR";NA;170,18;76,657048
"Tyler Vaughns";80;"WR";24;187,96;83,460928
"Cody White";15;"WR";23;190,5;97,52228
"Pat Freiermuth";88;"TE";23;195,58;117,026736
"Zach Gentry";81;"TE";25;203,2;120,20188
"Kevin Rader";87;"TE";27;193,04;113,398
"Jace Sternberger";NA;"TE";25;193,04;113,851592
"Mason Cole";52;"C";26;195,58;135,170416
"Kendrick Green";53;"C";23;193,04;142,88148
"J.C. Hassenauer";60;"C";27;187,96;133,80964
"Chris Owens";NA;"C";NA;190,5;138,34556
"James Daniels";NA;"G";24;193,04;148,324584
"Kevin Dotson";69;"G";25;193,04;145,603032
"Nate Gilliam";62;"G";24;193,04;140,61352
"Malcolm Pridgeon";64;"G";27;200,66;140,61352
"Jake Dixon";NA;"OT";NA;198,12;131,54168
"Chaz Green";74;"OT";30;195,58;144,242256
"Joe Haeg";71;"OT";28;198,12;135,170416
"John Leglue";77;"OT";26;200,66;140,61352
"Dan Moore Jr";65;"OT";23;195,58;142,88148
"Chukwuma Okorafor";76;"OT";24;198,12;145,14944
"Trenton Scott";NA;"OT";NA;187,96;136,0776
"Jordan Tucker";NA;"OT";NA;200,66;154,22128
"Tyson Alualu";94;"DE";35;190,5;137,891968
"DeMarvin Leal";NA;"DE";21;193,04;131,54168
"Isaiahh Loudermilk";92;"DE";24;200,66;132,902456
